economy,YR2015,YR2016,YR2017,YR2018,YR2019
DEU,11.18370342,11.23563671,11.32935143,11.45038891,11.69724941
DNK,10.22716618,10.14456177,10.03963375,10.0707159,9.95583057
ESP,9.12617207,8.9523859,8.9569416,8.99036121,9.13213158
FRA,11.4475565,11.47163677,11.33276176,11.18583012,11.05747223
GBR,9.90072441,9.87313271,9.80787468,9.90384102,10.15402699
GRC,8.06892395,8.32109451,8.10309219,7.95876884,7.83788586
ITA,8.85689163,8.72533035,8.6777401,8.67509365,8.66856861
JPN,10.74969959,10.65891647,10.65627003,10.74838829,10.74372482
KOR,6.65271664,6.91432714,7.10694933,7.54388428,8.1641655
USA,16.52407265,16.84432411,16.80583572,16.68710518,16.76706314
